horizon,feature,gain,split,block,gain_pct_horizon
7,target_roll_mean_96,979931.7805757523,563,roll_mean,0.04791073764722137
7,target_roll_std_96,277878.73454093933,363,roll_std,0.013586022427510853
7,same_slot_mean_7d,626991.0220346451,1140,same_slot,0.030654789404029235
7,future_hour_7,390765.87333488464,4184,future_time,0.01910529039872049
7,future_minute_7,0.0,0,future_time,0.0
7,future_dow_7,76883.85220813751,916,future_time,0.0037589984787385565
8,route_id,22070347.806035995,25481,ids_time,0.5915388478574971
8,office_from_id,5514831.561891556,3179,ids_time,0.14781086084005013
8,hour,1484306.2864894867,9609,ids_time,0.03978300832837355
8,minute,14922.361978530884,147,ids_time,0.00039995549185131333
8,dow,144576.24169826508,1843,ids_time,0.003874993914611953
8,target_2h,21248.10769844055,392,current_target,0.0005695008188158246
8,status_sum,97645.26863384247,143,status_agg,0.0026171300159847045
8,status_max,15456.397957801819,102,status_agg,0.00041426895127971356
8,status_1,124213.23416614532,457,raw_status,0.0033292159268645495
8,status_2,122877.82183361053,1050,raw_status,0.0032934236376108983
8,status_3,73228.21540641785,711,raw_status,0.0019626937714287505
8,status_4,151152.44622135162,816,raw_status,0.004051252144932999
8,status_5,168357.2060918808,844,raw_status,0.004512381435731685
8,status_6,11542.229709625244,157,raw_status,0.00030935974929543233
8,status_7,1380.4391078948975,60,raw_status,3.6999116035600144e-05
8,status_8,3195.103371620178,117,raw_status,8.563651936273079e-05
8,target_lag_1,5484.428977012634,169,short_lags,0.0001469959978306757
8,target_lag_2,4497.891993522644,182,short_lags,0.00012055441404997613
8,target_lag_3,4536.062202453613,180,short_lags,0.0001215774682225674
8,target_lag_4,6278.5515060424805,244,short_lags,0.00016828040757393875
8,target_lag_6,7479.939398765564,268,short_lags,0.00020048051679455553
8,target_lag_8,10484.57809829712,376,short_lags,0.0002810121210161644
8,target_lag_12,13973.57499885559,408,short_lags,0.0003745256997269761
8,target_lag_24,14999.765608787537,389,short_lags,0.0004020300968672563
8,target_lag_48,14664.303942680359,407,mid_lags,0.0003930389106288987
8,target_lag_96,11302.923414230347,331,mid_lags,0.00030294576019534986
8,target_lag_144,24086.570434570312,420,mid_lags,0.0006455785041959088
8,target_lag_192,24487.2668132782,411,long_lags,0.0006563181389440622
8,target_lag_240,42076.353417396545,411,long_lags,0.001127748318300835
8,target_lag_288,17231.777292251587,374,long_lags,0.0004618534232255162
8,target_lag_336,12269.174388885498,342,long_lags,0.00032884362974013216
8,target_lag_672,9265.181813240051,369,long_lags,0.0002483293432056989
8,target_roll_mean_2,19488.96559906006,279,roll_mean,0.0005223515441496338
8,target_roll_std_2,963.3043975830078,52,roll_std,2.581889413299006e-05
8,target_roll_mean_4,9735.811589241028,252,roll_mean,0.00026094336260900486
8,target_roll_std_4,4417.741396903992,203,roll_std,0.00011840618367338361
8,target_roll_mean_8,19687.14423274994,374,roll_mean,0.0005276632121701451
8,target_roll_std_8,9892.929182052612,386,roll_std,0.0002651544951496751
8,target_roll_mean_16,21764.52654647827,518,roll_mean,0.0005833420964007924
8,target_roll_std_16,14856.339822769165,455,roll_std,0.0003981859379550365
8,target_roll_mean_48,246648.84089946747,717,roll_mean,0.006610787127294633
8,target_roll_std_48,224346.78500556946,739,roll_std,0.006013037940726675
8,target_roll_mean_96,4392406.13388443,1235,roll_mean,0.11772713717948742
8,target_roll_std_96,746172.3935375214,627,roll_std,0.0199992298198192
8,same_slot_mean_7d,967966.5581445694,1362,same_slot,0.025943851343059876
8,future_hour_8,288580.74648952484,2442,future_time,0.007734663893497119
8,future_minute_8,2457.833191871643,33,future_time,6.587589046277013e-05
8,future_dow_8,98271.32366466522,1565,future_time,0.0026339098091661696
9,route_id,17194250.659453392,24924,ids_time,0.47811611992374464
9,office_from_id,4655295.864744186,3106,ids_time,0.1294486186128045
9,hour,1190569.6531763077,6110,ids_time,0.033105865114432996
9,minute,487.06420135498047,18,ids_time,1.3543669376342792e-05
9,dow,149974.97129058838,1604,ids_time,0.004170315576951735
9,target_2h,28113.57414150238,340,current_target,0.0007817469485553579
9,status_sum,87169.98693561554,141,status_agg,0.002423913478575806
9,status_max,9120.887508392334,87,status_agg,0.00025362218058487497
9,status_1,176178.6918373108,427,raw_status,0.004898955716234391
9,status_2,220339.90059757233,823,raw_status,0.006126935126432773
9,status_3,64565.68557167053,592,raw_status,0.0017953614657101305
9,status_4,133733.65779781342,740,raw_status,0.0037186975365132344
9,status_5,120472.98938560486,782,raw_status,0.003349961529669301
9,status_6,18011.276045799255,188,raw_status,0.0005008349353775669
9,status_7,1363.0085096359253,58,raw_status,3.7900828187117484e-05
9,status_8,2731.087700843811,99,raw_status,7.594265551671412e-05
9,target_lag_1,2853.4423837661743,117,short_lags,7.934494081614224e-05
9,target_lag_2,4213.5696058273315,159,short_lags,0.00011716564977835618
9,target_lag_3,4735.651504516602,187,short_lags,0.00013168304728683653
9,target_lag_4,5731.689491271973,222,short_lags,0.00015937962022601895
9,target_lag_6,6688.598125457764,221,short_lags,0.00018598813329005873
